Dist (cm),Return strength
15,1.22
16,1.23
17,1.22
18,1.22
19,1.22
20,1.22
21,1.22
22,1.22
23,1.20
24,1.19
25,1.17
26,1.14
27,1.10
28,1.05
29,0.99
30,0.94
31,0.89
32,0.85
33,0.81
34,0.77
35,0.74
36,0.70
37,0.66
38,0.62
39,0.62
40,0.58
41,0.55
42,0.53
43,0.50
44,0.48
45,0.46
46,0.44
47,0.43
48,0.40
49,0.39
50,0.38
51,0.36
52,0.36
53,0.35
54,0.34
55,0.32
56,0.32
57,0.31
58,0.29
59,0.29
60,0.28
61,0.27
62,0.26
63,0.25
64,0.24
65,0.24
66,0.22
67,0.21
68,0.21
69,0.20
70,0.19
71,0.19
72,0.19
73,0.18
75,0.18
80,0.16
85,0.14
90,0.13
95,0.1
100,0.1
,
,